text : 	link : http://www.39.net/
text : 医院在线	link : https://jbk.39.net/yiyuanzaixian/
text : 特色医院	link : http://yyk.39.net/tsyiyuan/
text : 登录	link : https://my.39.net/passport/Login.aspx
text : 注册	link : https://my.39.net/passport/reg.aspx
text : 39网友	link : http://my.39.net
text : 个人中心	link : http://my.39.net
text : 问医生	link : http://ask.39.net/
text : 找医院	link : http://yyk.39.net/
text : 查疾病	link : http://jbk.39.net/
text : 症状自查	link : http://jbk.39.net/bw_t2/
text : 药品通	link : http://ypk.39.net/
text : 快应用	link : http://www.39.net/a/200519/7910008.html
text : 5G消息应用号 5G消息应用号	link : javascript:void(0);
text : 资讯	link : http://news.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 儿科	link : http://ek.39.net/
text : 肿瘤	link : http://cancer.39.net/
text : 肝病	link : http://gan.39.net/
text : 肾病	link : http://shen.39.net/
text : 胃病	link : http://wei.39.net/
text : 肛肠	link : http://gc.39.net/
text : 糖尿病	link : http://tnb.39.net/
text : 心血管	link : http://heart.39.net/
text : 神经	link : http://sj.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 骨科	link : http://gk.39.net/
text : 皮肤	link : http://pf.39.net/
text : 整形	link : http://zx.39.net/
text : 诊疗	link : http://zl.39.net/
text : 减肥	link : http://fitness.39.net/
text : 女性	link : http://woman.39.net/
text : 男性	link : http://man.39.net/
text : 饮食	link : http://food.39.net/
text : 育儿	link : http://baby.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 产科	link : http://ck.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 肿瘤科	link : http://cancer.39.net/
text : 内科	link : http://neike.39.net/
text : 呼吸科	link : http://hx.39.net/
text : 心血管	link : http://heart.39.net/
text : 胃病科	link : http://wei.39.net/
text : 肾病科	link : http://shen.39.net/
text : 糖尿病科	link : http://tnb.39.net/
text : 肝病科	link : http://gan.39.net/
text : 乙肝	link : http://hbv.39.net/
text : 艾滋病	link : http://aids.39.net/
text : 神经科	link : http://sj.39.net/
text : 血液科	link : http://xy.39.net/
text : 精神科	link : http://js.39.net/
text : 消化科	link : http://xh.39.net/
text : 传染科	link : http://cr.39.net/
text : 皮肤科	link : http://pf.39.net/
text : 性病科	link : http://xb.39.net/
text : 风湿科	link : http://fs.39.net/
text : 外科	link : http://wk.39.net/
text : 骨科	link : http://gk.39.net/
text : 肛肠科	link : http://gc.39.net/
text : 内分泌	link : http://nfm.39.net/
text : 五官科	link : http://wgk.39.net/
text : 眼科	link : http://eye.39.net/
text : 口腔科	link : http://mouth.39.net/
text : 耳鼻喉科	link : http://ebh.39.net/
text : 过敏科	link : http://gm.39.net/
text : 其他	link : http://disease.39.net/
text : 儿科	link : http://ek.39.net/
text : 中医科	link : http://cm.39.net/
text : 急救	link : http://120.39.net/
text : 体检科	link : http://tj.39.net/
text : 深呼吸	link : http://news.39.net/shx/
text : 新疆界	link : http://news.39.net/xinjiangjie/
text : 仁心	link : http://disease.39.net/renxin/
text : 辟谣	link : http://care.39.net/39zjpyt/
text : 今日焦点	link : http://news.39.net/
text : 	link : http://news.39.net/ys/211102/9635619.html
text : 被吹上天的是酵素，实际“上天”的可能是我	link : http://news.39.net/ys/211102/9635619.html
text : 	link : http://news.39.net/ys/211102/9635619.html
text : 	link : http://news.39.net/shwx/211102/9636188.html
text : 商务部鼓励家庭储存生活必需品，双十一该囤些啥	link : http://news.39.net/shwx/211102/9636188.html
text : 	link : http://news.39.net/shwx/211102/9636188.html
text : 	link : http://woman.39.net/a/211029/9620249.html
text : 社交恐惧症不只是内向！不妨试试4种方法	link : http://woman.39.net/a/211029/9620249.html
text : 	link : http://woman.39.net/a/211029/9620249.html
text : 	link : http://fitness.39.net/a/211101/9629381.html
text : 减肥得靠“饿”？不，你需要这种低卡食物	link : http://fitness.39.net/a/211101/9629381.html
text : 	link : http://fitness.39.net/a/211101/9629381.html
text : 接力播：权威专家开播“解男题”	link : http://zl.39.net/a/211025/9603778.html
text : 钟南山院士寄语当代从医的年轻人	link : http://zl.39.net/a/211101/9631041.html
text : 反复咳嗽要查病因，谨防支气管扩张	link : http://zl.39.net/a/211029/9623495.html
text : 10元3双，把“要命袜”买回家！	link : http://cancer.39.net/zays/211101/9629394.html
text : 黄穗翔教授：疼痛超4周应及时就诊	link : http://zl.39.net/a/211026/9605807.html
text : 百名知名专家抗击疫情线上免费问诊	link : http://m.39.net/news/xwzt/whfy/overviewm.html?cid=0215zb
text : 坚持一个月，腿围能明显小一圈	link : http://fitness.39.net/a/211101/9629375.html
text : 减肥效果不好，5种水果来帮忙	link : http://fitness.39.net/a/211101/9629376.html
text : 戒烟后，被熏黑的肺还会白回来吗	link : http://man.39.net/a/211101/9629306.html
text : 男人有4个习惯，前列腺别想好	link : http://man.39.net/a/211101/9629304.html
text : 减肥好运动：深蹲！减肥一步到位	link : http://fitness.39.net/a/211101/9629382.html
text : 为了堕胎，古代人有多少骚操作？	link : http://man.39.net/a/211101/9629098.html
text : 尿酸高？对照这份食物表吃降尿酸	link : http://man.39.net/a/211101/9629097.html
text : 每天4个动作，让你下半身变瘦	link : http://fitness.39.net/a/211101/9629377.html
text : 每天坚持吃降压药会有什么结果	link : http://care.39.net/a/211026/9609868.html
text : 如何逆转久坐伤害？今天告诉你	link : http://woman.39.net/a/211029/9620234.html
text : 实检的这4种汤，告诉你营养真相	link : http://food.39.net/a/211029/9620722.html
text : 这6类食物，养颜瘦身一举两得！	link : http://fitness.39.net/a/211025/9601592.html
text : 4动作强化腿部肌肉，练出大长腿	link : http://fitness.39.net/a/211025/9601594.html
text : 这5个症状是肾脏受损的征兆！	link : http://man.39.net/a/211025/9601192.html
text : 	link : http://news.39.net/shx/
text : 一个年轻代妈的自述：这是一辈子都无法醒来的噩梦	link : http://news.39.net/shx/210727/9235700.html
text : 	link : http://disease.39.net/renxin/
text : 邓春华：是时候解开缠绕在男人身上的“裹脚布”了	link : http://disease.39.net/a/211028/9617604.html
text : 	link : http://news.39.net/xinzhi/
text : 打雷是渣男在发誓？研究发现：生而为男，确实更容易被雷劈	link : http://news.39.net/xinzhi/211028/9615570.html
text : 采耳舒服，没聋前常去	link : http://care.39.net/a/210908/9418910.html
text : 年轻人靠“零食”续命	link : http://news.39.net/ys/210813/9310028.html
text : 洗碗机买不买都后悔？	link : http://care.39.net/a/210913/9439763.html
text : MORE更多科普	link : http://doc.39.net/
text : 健康消费	link : javascript:void(0);
text : 运动饮料：一瓶就让减肥功亏一篑	link : http://fitness.39.net/sss/210824/9357797.html
text : 健康消费	link : javascript:void(0);
text : 植物肉终其一生，都在伪装成真肉	link : http://food.39.net/a/210915/9448526.html
text : 11.2直播： 关键时刻“掉链子”是早泄吗	link : http://zl.39.net/a/211101/9631018.html
text : 90分钟抢救，14次心电除颤！心跳骤停患者终于逆转生死	link : http://heart.39.net/a/211101/9633506.html
text : 邱贤文教授答疑：湿疹会传染吗？打免疫球蛋白能不能预防	link : http://pf.39.net/a/211029/9622352.html
text : 80岁肠癌患者突发肠梗阻，医护连夜抢救帮他渡过难关	link : http://cancer.39.net/a/211101/9631768.html
text : 中山六院吴小剑团队有望为化疗耐药患者带来新疗法	link : http://zl.39.net/a/211101/9631598.html
text : 降糖又减肥！详解新型降糖药“GLP-1受体激动剂”	link : http://zl.39.net/a/211101/9631009.html
text : 钟南山院士寄语当代从医的年轻人	link : http://zl.39.net/a/211101/9631041.html
text : 老人半年不洗澡是这原因！黄穗翔：疼痛超4周应及时就诊	link : http://zl.39.net/a/211026/9605807.html
text : 南方医院喜迎80岁生日，着力打造大湾区医学高地	link : http://zl.39.net/a/211030/9626941.html
text : 脑卒中发生后千万别等等看！专家提醒要记住BE FAST口诀	link : http://zl.39.net/a/211029/9623543.html
text : 世界卒中日：科学防治卒中 重视血压血脂管理	link : http://zl.39.net/a/211029/9623498.html
text : 反复咳嗽要查病因，谨防支气管扩张	link : http://zl.39.net/a/211029/9623495.html
text : 省生殖医院推出三个“百万计划”！助力三孩政策实施	link : http://zl.39.net/a/211029/9622593.html
text : 六旬老伯突然腹痛险丢命 日常做好这3点轻松预防	link : http://zl.39.net/a/211029/9622405.html
text : 王敏博士答疑：颈椎痛，我可以去按摩吗？	link : http://zl.39.net/a/211028/9616009.html
text : 更多	link : http://doc.39.net/
text : 	link : http://doc.39.net/hushiyun/5915.html
text : 胡世云主任医师	link : http://doc.39.net/hushiyun/5915.html
text : 从“扁鹊换心”说心脏移植	link : http://doc.39.net/hushiyun/5915.html
text : 	link : http://doc.39.net/liuhuiyan/24231.html
text : 刘晖艳副主任医师	link : http://doc.39.net/liuhuiyan/24231.html
text : 孕妇会将乙肝传染给宝宝吗	link : http://doc.39.net/liuhuiyan/24231.html
text : 	link : http://doc.39.net/pandanlei/24241.html
text : 潘石蕾副主任医师	link : http://doc.39.net/pandanlei/24241.html
text : 得了糖尿病还能怀上健康宝宝吗？	link : http://doc.39.net/pandanlei/24241.html
text : 39健康网科普基地	link : http://psb.39.net/
text : 奇妙的中医	link : http://v.39.net/qmdzy/index.html
text : 39医生说	link : http://v.39.net/video/yss/index.html
text : 走进医学	link : http://v.39.net/qwwdsp/index.html
text : 胡说中医	link : http://v.39.net/video/hushuozhongyi/index.html
text : 中医药征评	link : http://cm.39.net/2021cc/index.html
text : 建党100周年纪录片	link : http://v.39.net/blcg/
text : 哪一种耳机最好？	link : http://v.39.net/a/210830/9383301.html
text : 为什么有的人留疤明显？	link : http://v.39.net/a/210827/9371478.html
text : 输卵管妊娠会有哪些症状？	link : http://v.39.net/a/210827/9371060.html
text : 怎么判断是否有半月板损伤	link : http://v.39.net/a/210827/9370504.html
text : 半月板损伤的原因有哪些？	link : http://v.39.net/a/210827/9370497.html
text : 偏头痛能根治吗？	link : http://v.39.net/a/210827/9370381.html
text : 怎样缓解偏头痛的疼痛？	link : http://v.39.net/a/210827/9370324.html
text : 视网膜脱离术会影响视力吗	link : http://v.39.net/a/210827/9369975.html
text : 视网膜脱离手术方式有哪些	link : http://v.39.net/a/210827/9369971.html
text : 第五集 从石库门到南湖	link : http://v.39.net/blcg/210402/8809972.html
text : 	link : http://v.39.net/gdszyy/211028/9616017.html
text : 5个征兆提示糖尿病前期	link : http://v.39.net/gdszyy/211028/9616017.html
text : 	link : http://v.39.net/gdszyy/211021/9586137.html
text : 骨质疏松危害大，别当小事	link : http://v.39.net/gdszyy/211021/9586137.html
text : 	link : http://v.39.net/gdszyy/211015/9562299.html
text : 眼皮跳，90%是这种原因	link : http://v.39.net/gdszyy/211015/9562299.html
text : 	link : http://v.39.net/gdszyy/211008/9535186.html
text : 解决痛经，这个方法最好用	link : http://v.39.net/gdszyy/211008/9535186.html
text : 	link : http://v.39.net/hushuozhongyi/210901/9393428.html
text : 这种大补酒调理五脏效果好	link : http://v.39.net/hushuozhongyi/210901/9393428.html
text : 其它科室	link : http://ask.39.net/
text : 更多	link : http://ask.39.net/doctors
text : 使用症状自查 找对就诊科室	link : http://jbk.39.net/zicha/
text : 女性	link : http://yyk.39.net/doctors/fuchanke/
text : 乳腺癌	link : http://yyk.39.net/doctors/ruxianai/
text : 阴道炎	link : http://yyk.39.net/doctors/yindaoyan/
text : 卵巢囊肿	link : http://yyk.39.net/doctors/luanchaonangzhong/
text : 子宫肌瘤	link : http://yyk.39.net/doctors/zigongjiliu/
text : 乳腺增生	link : http://yyk.39.net/doctors/ruxianzengsheng/
text : 月经失调	link : http://yyk.39.net/doctors/yuejingshidiao/
text : 人流	link : http://yyk.39.net/doctors/renliu/
text : 宫颈炎	link : http://yyk.39.net/doctors/gongjingyan/
text : 盆腔炎	link : http://yyk.39.net/doctors/penqiangyan/
text : 痛经	link : http://yyk.39.net/doctors/tongjing/
text : 子宫肌瘤	link : http://yyk.39.net/hospitals/zigongjiliu/
text : 宫颈糜烂	link : http://yyk.39.net/doctors/gongjingmilan/
text : 卵巢癌	link : http://yyk.39.net/doctors/luanchaoai/
text : 乳房纤维瘤	link : http://yyk.39.net/doctors/rfxwl/
text : 卵巢早衰	link : http://yyk.39.net/doctors/luanchaozaoshuai/
text : 宫颈息肉	link : http://yyk.39.net/doctors/gongjingxirou/
text : 儿童	link : http://yyk.39.net/doctors/erke/
text : 新生儿黄疸	link : http://yyk.39.net/doctors/xsehd/
text : 支气管炎	link : http://yyk.39.net/doctors/xezqgy/
text : 支原体肺炎	link : http://yyk.39.net/doctors/xezytfy/
text : 小儿遗尿	link : http://yyk.39.net/doctors/xiaoeryiniao/
text : 小儿疝气	link : http://yyk.39.net/doctors/xiaoershanqi/
text : 小儿癫痫	link : http://yyk.39.net/doctors/xiaoerdianxian/
text : 小儿哮喘	link : http://yyk.39.net/doctors/xiaoerxiaochuan/
text : 手足口病	link : http://yyk.39.net/doctors/shouzukoubing/
text : 麻疹	link : http://yyk.39.net/doctors/mazhen/
text : 小儿多动症	link : http://yyk.39.net/doctors/xeddz/
text : 婴儿湿疹	link : http://yyk.39.net/doctors/yingershizhen/
text : 奶癣	link : http://yyk.39.net/doctors/naixuan/
text : 疝气	link : http://yyk.39.net/doctors/shanqi/
text : 黄疸	link : http://yyk.39.net/doctors/huangdan/
text : 自闭症	link : http://yyk.39.net/doctors/zibizheng/
text : 急性喉炎	link : http://yyk.39.net/doctors/xejxhy/
text : 男性	link : http://yyk.39.net/doctors/nanke/
text : 前列腺炎	link : http://yyk.39.net/doctors/qianliexianyan/
text : 包皮过长	link : http://yyk.39.net/doctors/baopiguozhang/
text : 男性不育	link : http://yyk.39.net/doctors/nanxingbuyu/
text : 早泄	link : http://yyk.39.net/doctors/zaoxie/
text : 阳痿	link : http://yyk.39.net/doctors/yangwei/
text : 小阴茎	link : http://yyk.39.net/doctors/xiaoyinjing/
text : 遗精	link : http://yyk.39.net/doctors/yijing/
text : 肾虚	link : http://yyk.39.net/doctors/shenxu/
text : 阴茎短	link : http://yyk.39.net/doctors/yinjingduan/
text : 包皮龟头炎	link : http://yyk.39.net/doctors/bpgty/
text : 前列腺增生	link : http://yyk.39.net/doctors/qlxzs/
text : 阴囊湿疹	link : http://yyk.39.net/doctors/yinnangshizhen/
text : 静脉曲张	link : http://yyk.39.net/doctors/jsjmqz/
text : 性功能障碍	link : http://yyk.39.net/doctors/nzxgnza/
text : 附睾炎	link : http://yyk.39.net/doctors/fugaoyan/
text : 前列腺癌	link : http://yyk.39.net/doctors/qianliexianai/
text : 老人	link : http://yyk.39.net/doctors/laonianbingke/
text : 高血压	link : http://yyk.39.net/doctors/gaoxueya/
text : 糖尿病	link : http://yyk.39.net/doctors/tangniaobing/
text : 冠心病	link : http://yyk.39.net/doctors/guanxinbing/
text : 痛风	link : http://yyk.39.net/doctors/tongfeng/
text : 心肌梗塞	link : http://yyk.39.net/doctors/xinjibing/
text : 骨质疏松	link : http://yyk.39.net/doctors/guzhishusong/
text : 白内障	link : http://yyk.39.net/doctors/baineizhang/
text : 骨关节炎	link : http://yyk.39.net/doctors/guguanjieyan/
text : 中风	link : http://yyk.39.net/doctors/zhongfeng/
