text : 39健康网首页	link : http://www.39.net/
text : 39问医生	link : http://ask.39.net/
text : 名医在线	link : http://myzx.39.net/
text : 就医助手	link : http://yyk.39.net/
text : 药品通	link : http://ypk.39.net/
text : 疾病百科	link : http://jbk.39.net/
text : 新闻	link : http://news.39.net/
text : 诊疗	link : http://zl.39.net/
text : 药品	link : http://drug.39.net/
text : 医院在线	link : /yiyuanzaixian/
text : 登录	link : javascript:void(0);
text : 注册	link : javascript:void(0);
text : 消息0	link : http://my.39.net/UserCenter/default.aspx?menu=inbox
text : 	link : http://my.39.net/UserCenter/default.aspx
text : 我的提问	link : http://my.39.net/UserCenter/default.aspx?menu=myquestions
text : 个人管理	link : http://my.39.net/
text : 修改资料	link : http://my.39.net/UserCenter/Default.aspx?menu=profile
text : 退出	link : javascript:void(0);
text : 	link : http://jbk.39.net/
text : 找医院	link : /yiyuanzaixian/
text : 找医生	link : /yiyuanzaixian/doctors/
text : 健康资讯	link : /yiyuanzaixian/jkzx/
text : 北京	link : javascript:void(0);
text : 上海	link : javascript:void(0);
text : 深圳	link : javascript:void(0);
text : 广州	link : javascript:void(0);
text : 重庆	link : javascript:void(0);
text : 郑州	link : javascript:void(0);
text : 南京	link : javascript:void(0);
text : 武汉	link : javascript:void(0);
text : 成都	link : javascript:void(0);
text : 杭州	link : javascript:void(0);
text : 南宁	link : javascript:void(0);
text : 昆明	link : javascript:void(0);
text : 长沙	link : javascript:void(0);
text : 全国	link : javascript:void(0);
text : 广东	link : javascript:void(0);
text : 广西	link : javascript:void(0);
text : 北京	link : javascript:void(0);
text : 辽宁	link : javascript:void(0);
text : 贵州	link : javascript:void(0);
text : 浙江	link : javascript:void(0);
text : 湖南	link : javascript:void(0);
text : 上海	link : javascript:void(0);
text : 四川	link : javascript:void(0);
text : 山西	link : javascript:void(0);
text : 河南	link : javascript:void(0);
text : 陕西	link : javascript:void(0);
text : 山东	link : javascript:void(0);
text : 黑龙江	link : javascript:void(0);
text : 江苏	link : javascript:void(0);
text : 云南	link : javascript:void(0);
text : 福建	link : javascript:void(0);
text : 安徽	link : javascript:void(0);
text : 湖北	link : javascript:void(0);
text : 河北	link : javascript:void(0);
text : 重庆	link : javascript:void(0);
text : 天津	link : javascript:void(0);
text : 江西	link : javascript:void(0);
text : 甘肃	link : javascript:void(0);
text : 新疆	link : javascript:void(0);
