text : 	link : http://www.39.net/
text : 问医生	link : http://ask.39.net/
text : 找医院	link : http://yyk.39.net/
text : 查疾病	link : http://jbk.39.net/
text : 症状自查	link : http://jbk.39.net/bw_t2/
text : 药品通	link : http://ypk.39.net/
text : 快应用	link : http://www.39.net/a/200519/7910008.html
text : 登录	link : https://my.39.net/passport/Login.aspx
text : 39网友	link : http://my.39.net
text : 资讯	link : http://news.39.net/
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 儿科	link : http://ek.39.net/
text : 肿瘤	link : http://cancer.39.net/
text : 肝病	link : http://gan.39.net/
text : 肾病	link : http://shen.39.net/
text : 胃病	link : http://wei.39.net/
text : 肛肠	link : http://gc.39.net/
text : 糖尿病	link : http://tnb.39.net/
text : 心血管	link : http://heart.39.net/
text : 神经	link : http://sj.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 骨科	link : http://gk.39.net/
text : 皮肤	link : http://pf.39.net/
text : 整形	link : http://zx.39.net/
text : 诊疗	link : http://zl.39.net/
text : 减肥	link : http://fitness.39.net/
text : 女性	link : http://woman.39.net/
text : 男性	link : http://man.39.net/
text : 饮食	link : http://food.39.net/
text : 育儿	link : http://baby.39.net/
text : 【回到旧版首页】	link : http://www.39.net/index2015.html
text : 男科	link : http://nk.39.net/
text : 妇科	link : http://fk.39.net/
text : 产科	link : http://ck.39.net/
text : 不孕不育	link : http://byby.39.net/
text : 肿瘤科	link : http://cancer.39.net/
text : 内科	link : http://neike.39.net/
text : 呼吸科	link : http://hx.39.net/
text : 心血管	link : http://heart.39.net/
text : 胃病科	link : http://wei.39.net/
text : 肾病科	link : http://shen.39.net/
text : 糖尿病科	link : http://tnb.39.net/
text : 肝病科	link : http://gan.39.net/
text : 乙肝	link : http://hbv.39.net/
text : 艾滋病	link : http://aids.39.net/
text : 神经科	link : http://sj.39.net/
text : 血液科	link : http://xy.39.net/
text : 精神科	link : http://js.39.net/
text : 消化科	link : http://xh.39.net/
text : 传染科	link : http://cr.39.net/
text : 皮肤科	link : http://pf.39.net/
text : 性病科	link : http://xb.39.net/
text : 风湿科	link : http://fs.39.net/
text : 外科	link : http://wk.39.net/
text : 骨科	link : http://gk.39.net/
text : 肛肠科	link : http://gc.39.net/
text : 内分泌	link : http://nfm.39.net/
text : 五官科	link : http://wgk.39.net/
text : 眼科	link : http://eye.39.net/
text : 口腔科	link : http://mouth.39.net/
text : 耳鼻喉科	link : http://ebh.39.net/
text : 过敏科	link : http://gm.39.net/
text : 其他	link : http://disease.39.net/
text : 儿科	link : http://ek.39.net/
text : 中医科	link : http://cm.39.net/
text : 急救	link : http://120.39.net/
text : 体检科	link : http://tj.39.net/
text : 深呼吸	link : http://news.39.net/shx/
text : 新疆界	link : http://news.39.net/xinjiangjie/
text : 仁心	link : http://disease.39.net/renxin/
text : 辟谣	link : http://care.39.net/39zjpyt/
text : 	link : http://man.39.net/a/211101/9629305.html
text : 	link : http://man.39.net/a/211025/9601193.html
text : 	link : http://man.39.net/a/211022/9590459.html
text : 	link : http://man.39.net/a/211011/9543481.html
text : 	link : http://man.39.net/a/211008/9534005.html
text : 男人胡子长得快，寿命会更短？一文解答	link : http://man.39.net/a/211101/9629305.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男人的内裤到底有多脏？多久换一次新的才好？不忍心告诉你真相	link : http://man.39.net/a/211025/9601193.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男性“用手”过度很伤身，如何判断是否过度？这3个特征你有吗？	link : http://man.39.net/a/211022/9590459.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男性长期不超过5分钟，是病吗？	link : http://man.39.net/a/211011/9543481.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 为什么有些男人爱出轨？都是这6种心理因素惹的祸	link : http://man.39.net/a/211008/9534005.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 	link : http://man.39.net/a/211108/9659413.html
text : “下面”的毛有什么用？为什么有些人光秃秃的？医生说了3个原因	link : http://man.39.net/a/211108/9659413.html
text : 	link : http://man.39.net/a/211108/9659412.html
text : “别熬夜，真的会熬坏身体！”晚睡的危害，不只是白天没精神	link : http://man.39.net/a/211108/9659412.html
text : 	link : http://man.39.net/a/211105/9648736.html
text : 男人的长度焦虑：人均18cm？别再自己骗自己！这个长度是正常	link : http://man.39.net/a/211105/9648736.html
text : 	link : http://man.39.net/a/211105/9648735.html
text : 为什么那么多男人“生”不出孩子？男性避免不育，4个建议听进去	link : http://man.39.net/a/211105/9648735.html
text : 	link : http://man.39.net/a/211105/9648720.html
text : 一喝水就尿多，代表肾脏好还是不好？看完这4点，你或许就明白了	link : http://man.39.net/a/211105/9648720.html
text : 常用工具	link : http://test.39.net/list/77.html
text : 症状查询	link : http://test.39.net/test/5719.html
text : 阳痿测试	link : http://test.39.net/test/295.html
text : 前列腺自测	link : http://test.39.net/test/3187.html
text : 男科自测	link : http://test.39.net/list/77.html
text : 本性测试	link : http://test.39.net/test/6144.html
text : 不育测试	link : http://test.39.net/test/6145.html
text : 专家在线	link : http://nk.39.net/zjft/
text : 我要提问	link : http://ask.39.net/addtopic.aspx?from=dh&words=
text : 专家视点	link : http://nk.39.net/zjft/
text : 更多	link : http://nk.39.net/zjft/
text : 	link : http://nk.39.net/a/210328/8790594.html
text : 2045年男性将“绝精”？内裤材质会影响精子质量？精子库专家一一解释	link : http://nk.39.net/a/210328/8790594.html
text : 	link : http://nk.39.net/a/210202/8648917.html
text : 男性：那里有点“弯”，是正常的吗？别害羞，听听医生怎么说	link : http://nk.39.net/a/210202/8648917.html
text : 	link : http://nk.39.net/a/201216/8503898.html
text : 男人维持“战斗”多久才正常？专家给出明确标准，可参考这一时间	link : http://nk.39.net/a/201216/8503898.html
text : 健康保健	link : http://man.39.net/nxbj/
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 心理保健	link : http://man.39.net/nxbj/nxxl/
text : 男性营养	link : http://man.39.net/nxbj/nxyy/
text : 生理保健	link : http://man.39.net/nxbj/slbj/
text : 性保健	link : http://man.39.net/nxbj/nrxa//
text : 	link : http://man.39.net/a/211101/9629305.html
text : 	link : http://man.39.net/a/211025/9601193.html
text : 	link : http://man.39.net/a/211022/9590459.html
text : 	link : http://man.39.net/a/211011/9543481.html
text : 	link : http://man.39.net/a/211008/9534005.html
text : 男人胡子长得快，寿命会更短？一文解答	link : http://man.39.net/a/211101/9629305.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男人的内裤到底有多脏？多久换一次新的才好？不忍心告诉你真相	link : http://man.39.net/a/211025/9601193.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男性“用手”过度很伤身，如何判断是否过度？这3个特征你有吗？	link : http://man.39.net/a/211022/9590459.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 男性长期不超过5分钟，是病吗？	link : http://man.39.net/a/211011/9543481.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 为什么有些男人爱出轨？都是这6种心理因素惹的祸	link : http://man.39.net/a/211008/9534005.html
text : 保健常识	link : http://man.39.net/nxbj/bjcs/
text : 	link : http://man.39.net/a/211108/9659413.html
text : “下面”的毛有什么用？为什么有些人光秃秃的？医生说了3个原因	link : http://man.39.net/a/211108/9659413.html
text : 	link : http://man.39.net/a/211108/9659412.html
text : “别熬夜，真的会熬坏身体！”晚睡的危害，不只是白天没精神	link : http://man.39.net/a/211108/9659412.html
text : 	link : http://man.39.net/a/211105/9648736.html
text : 男人的长度焦虑：人均18cm？别再自己骗自己！这个长度是正常	link : http://man.39.net/a/211105/9648736.html
text : 	link : http://man.39.net/a/211105/9648735.html
text : 为什么那么多男人“生”不出孩子？男性避免不育，4个建议听进去	link : http://man.39.net/a/211105/9648735.html
text : 	link : http://man.39.net/a/211105/9648720.html
text : 一喝水就尿多，代表肾脏好还是不好？看完这4点，你或许就明白了	link : http://man.39.net/a/211105/9648720.html
text : 	link : http://man.39.net/a/211105/9648719.html
text : 为什么有的男人会选择嫖娼？一次嫖娼会带来多少性病？长点记性吧	link : http://man.39.net/a/211105/9648719.html
text : 	link : http://man.39.net/a/211104/9643874.html
text : 喜欢一个人，却不想和ta啪啪啪	link : http://man.39.net/a/211104/9643874.html
text : 	link : http://man.39.net/a/211102/9637451.html
text : 去年我国死亡数最多的传染病：艾滋病！正在学生和老年人中蔓延	link : http://man.39.net/a/211102/9637451.html
text : 	link : http://man.39.net/a/211101/9629303.html
text : 交一次功课，“歇业”好几天，这种情况正常吗？夫妻都了解一下	link : http://man.39.net/a/211101/9629303.html
text : 	link : http://man.39.net/a/210810/9294907.html
text : 酒桌上的千年之问：喝还是不喝？我沉迷过，困惑过，苦恼过……	link : http://man.39.net/a/210810/9294907.html
text : 	link : http://man.39.net/a/210705/9144573.html
text : 男性性能力走下坡路怎么办？5个加强男人能力的方法	link : http://man.39.net/a/210705/9144573.html
text : 	link : http://man.39.net/a/210501/8907245.html
text : 五一假期喝酒需尽兴？喝前看看这些小贴士	link : http://man.39.net/a/210501/8907245.html
text : 	link : http://man.39.net/a/210318/8758237.html
text : 男人亲热时最怕的7件事，你都知道吗	link : http://man.39.net/a/210318/8758237.html
text : 	link : http://man.39.net/a/210318/8758229.html
text : 前列腺炎如何预防？前列腺最“爱”的6大食物	link : http://man.39.net/a/210318/8758229.html
text : 和女友接吻之前最好吃几种食物	link : http://man.39.net/a/210305/8717964.html
text : 夫妻生活时，男人力不从心？6种食物堪比壮阳药	link : http://man.39.net/a/210222/8679725.html
text : 男人性能力好不好，看5部位就知道	link : http://man.39.net/a/210221/8677954.html
text : 情侣床上的5大“潜规则”！你又知道几个	link : http://man.39.net/a/210220/8674986.html
text : 男生和女生，哪个更好“色”？大方承认，别害羞！	link : http://man.39.net/a/210218/8671430.html
text : 男性专栏	link : http://man.39.net/nxzt/tbch/
text : 男性一生的“性福”攻略	link : http://man.39.net/nxzt/nxjkr2019/
text : 脱发程度自测方法：看你会不会秃顶？	link : http://man.39.net/a/201201/8452264.html
text : 为什么男人更喜欢漂亮的女人？“好色”不是男人的错	link : http://man.39.net/a/201117/8407383.html
text : 生理疾病	link : http://nk.39.net/
text : 功能障碍	link : http://nk.39.net/xza/
text : 前列腺	link : http://man.39.net/nxbj/slbj/qlx/
text : 不育症	link : http://nk.39.net/nxbyz/
text : 保卫精子	link : http://man.39.net/nxbj/slbj/jz/
text : 包皮过长	link : http://nk.39.net/bpbj/
text : 	link : http://nk.39.net/a/211101/9629068.html
