text : 39健康网	link : http://www.39.net/
text : 39问医生	link : http://ask.39.net/
text : 名医在线	link : http://myzx.39.net/
text : 就医助手	link : http://yyk.39.net/
text : 药品通	link : http://ypk.39.net/
text : 疾病百科	link : https://jbk.39.net/
text : 新闻	link : http://news.39.net/
text : 诊疗	link : http://zl.39.net/
text : 药品	link : http://drug.39.net/
text : 登录	link : javascript:void(0);
text : 注册	link : javascript:void(0);
text : 消息0	link : http://my.39.net/UserCenter/default.aspx?menu=inbox
text : 	link : http://my.39.net/UserCenter/default.aspx
text : 我的提问	link : http://my.39.net/UserCenter/default.aspx?menu=myquestions
text : 个人管理	link : http://my.39.net/
text : 修改资料	link : http://my.39.net/UserCenter/Default.aspx?menu=profile
text : 退出	link : javascript:void(0);
text : 	link : /
text : 全部分类	link : /AllCategory
text : 安全用药	link : /saftydrugs/t0/
text : 万家药店	link : /yaodian/
text : 医保助手	link : /medicaredrugs
text : 中西药	link : /AllCategory#d1
text : 感冒发热	link : /ganmao/
text : 解热镇痛	link : /jierezhentong/
text : 病毒性感冒	link : /bingduxingganmao/
text : 驱风祛暑	link : /qufengqushu/
text : 清热解毒	link : /qingrejiedu/
text : 头痛头晕	link : /toutongtouyun/
text : 皮肤用药	link : /pifu/
text : 癣症（银屑病）	link : /xuanzheng/
text : 皮炎湿疹	link : /piyan/
text : 疖肿疥疮	link : /cuocang/
text : 手足皲裂	link : /shouzujunlie/
text : 座疮粉刺	link : /cuochuangfenci/
text : 湿毒疮	link : /shiduchuang/
text : 白癜风	link : /baidianfeng/
text : 灰指甲	link : /huizhijia/
text : 疤痕	link : /bahen/
text : 色斑	link : /seban/
text : 狐臭	link : /huchou/
text : 酒渣鼻	link : /jiuzhabi/
text : 荨麻疹	link : /xunmazhen/
text : 肠胃用药	link : /weichang/
text : 溃疡类	link : /kuiyang/
text : 助消化类	link : /zhuxiaohua/
text : 炎症类	link : /yanzheng/
text : 止泻类	link : /zhixie/
text : 痔疮便秘便血	link : /zhichuang/
text : 胃脘疼痛	link : /weiwantengtong/
text : 五官用药	link : /wuguan/
text : 眼科用药	link : /yanke/
text : 耳鼻喉用药	link : /ebihou/
text : 口腔科用药	link : /kouqiang/
text : 咽痛音哑	link : /yantong/
text : 扁桃体炎	link : /biantaotiyan/
text : 耳鸣耳聋	link : /ermingerlong/
