text : 	link : http://ask.39.net/
text : 	link : http://www.39.net/
text : 登录	link : javascript:void(0);
text : 注册	link : javascript:void(0);
text : 徐楚江 主任医师 南方医科大学中西医结合医院 擅长：对四肢骨折创伤，足踝部畸形矫形及功能重建，踇趾外翻、马蹄内翻足、平足，锤状趾；对足踝部创伤足踝部运动损伤的处理具有较高造诣	link : http://my.39.net/xuchujiang
text : 提问	link : /addTopic?tomid=5616223
text : 于学 主任医师 黑龙江省中医药学校附属医院 擅长：擅长中西医结合方法，诊疗各种内科疾病，擅长--心内科、呼吸科、消化科、内分泌科，生殖保健科，皮肤科，等各种疑难杂症。	link : http://my.39.net/E5621095
text : 提问	link : /addTopic?tomid=23522341
text : 崔婷婷 副主任医师 湖南中医药大学第一附属医院 擅长：月经内分泌失调、不孕症、盆腔炎、宫外孕、宫颈疾病、阴道炎、子宫内膜异位症、盆腔包块、妊娠剧吐、保胎	link : http://my.39.net/P12558866
text : 提问	link : /addTopic?tomid=25987920
text : 王帅 副主任医师 贵州医科大学第三附属医院 擅长：泌尿系统疾患，泌尿系结石，肿瘤，前列腺疾病，男性生殖健康。	link : http://my.39.net/P16290033
text : 提问	link : /addTopic?tomid=30128563
text : 许光仓 主任医师 镇江市中医院 擅长：痤疮，湿疹，带状疱疹，神经性皮炎，瘙痒症，手足癣，以及尖锐湿疣等各类性病	link : http://my.39.net/P53274261
text : 提问	link : /addTopic?tomid=35639255
text : 王林中 主任医师 鄂州市中心医院 擅长：在儿科常见病，多发病的诊断和治疗，如小儿贫血，重症肺炎，肾病综合征，慢性腹泻，出疹性疾病、性早熟等等，以及危重症的抢救等方面，积累了较为丰富的经验。	link : http://my.39.net/P51493589
text : 提问	link : /addTopic?tomid=35820439
text : 郝敬波 副主任医师 徐州医科大学附属医院 擅长：擅长糖尿病、高血压、老年冠心病、慢性阻塞性肺疾病等	link : http://my.39.net/P58126833
text : 提问	link : /addTopic?tomid=38131891
text : 彭文琦 副主任医师 钦州市第一人民医院 擅长：颈肩腰腿疼痛、中风偏瘫、常见儿科疾病如感冒、咳嗽、发热、消化不良、便秘等以及妇科月经不调、不孕不育等中医调理。	link : http://my.39.net/P58368619
text : 提问	link : /addTopic?tomid=38374185
text : 谷阔 副主任医师 哈尔滨市第一医院 擅长：胃肠道疾病的诊断与治疗、肝胆脾胰腺疾病的诊断与治疗	link : http://my.39.net/X58710819
text : 提问	link : /addTopic?tomid=38597217
text : 曹晓菊 主任医师 陕西省人民医院 擅长：擅长于中医治疗妇科病，更年期疾病，脾胃消化病，老年病，及气血不足，脾虚，肾虚，肝郁，湿重等亚健康状态中医养生指导。	link : http://my.39.net/X58611978
text : 提问	link : /addTopic?tomid=38629448
text : 李新伟	link : http://my.39.net/P16632898
text : P******	link : http://my.39.net/P58222356
text : 潘晓梁	link : http://my.39.net/P14512667
text : P******	link : http://my.39.net/P58682194
text : 胡文超	link : http://my.39.net/P53801135
text : P******	link : http://my.39.net/P58388259
text : 夏孝峰	link : http://my.39.net/xxf2108204
text : P******	link : http://my.39.net/P58663905
text : 颜培彬	link : http://my.39.net/P52681792
text : P******	link : http://my.39.net/P58238229
text : 韩玉廷	link : http://my.39.net/P5391869
text : P******	link : http://my.39.net/P58198775
text : 夏孝峰	link : http://my.39.net/xxf2108204
text : P******	link : http://my.39.net/P58362817
text : 王靖翰	link : http://my.39.net/X15213028
text : l******	link : http://my.39.net/X57769165
text : 王海燕	link : http://my.39.net/P16563472
text : ?******	link : http://my.39.net/X58433713
text : 陈敬斌	link : http://my.39.net/X51693161
text : 阿******	link : http://my.39.net/X57985480
text : 李庆哲	link : http://my.39.net/E12020665
text : C******	link : http://my.39.net/X58440131
text : 吕丁锁	link : http://my.39.net/lvdingsnk
text : 昊******	link : http://my.39.net/X58438056
text : 李云华	link : http://my.39.net/P15740979
text : 你******	link : http://my.39.net/X58438194
text : 李新伟	link : http://my.39.net/P16632898
text : C******	link : http://my.39.net/X58440131
text : 李新伟	link : http://my.39.net/P16632898
text : 昊******	link : http://my.39.net/X58438056
text : 刘汝巧	link : http://my.39.net/X9347704
text : 画******	link : http://my.39.net/X58153064
text : 刘汝巧	link : http://my.39.net/X9347704
text : ?******	link : http://my.39.net/X58438201
text : 张为全	link : http://my.39.net/P16641980
text : 画******	link : http://my.39.net/X58153064
text : 邹景娟	link : http://my.39.net/P16541687
text : 婷******	link : http://my.39.net/X58438431
text : 赵丽吉	link : http://my.39.net/zhaoliji
text : 孕期吃石榴对胎儿好吗	link : /question/93461235.html
text : 柴智屏	link : http://my.39.net/chaizhiping
text : pH值什么意思	link : /question/93461224.html
text : 吴水全	link : http://my.39.net/fhuog
text : 早孕有什么症状	link : /question/93461222.html
text : 王银宝	link : http://my.39.net/wangyinbao
text : 什么水果去火?	link : /question/93461216.html
text : 丁雷明	link : http://my.39.net/dingleiming
text : 菠萝蜜哪些人不能吃	link : /question/93461223.html
text : 39健康网	link : http://www.39.net/
text : 未经授权请勿转载	link : http://corp.39.net/info/disclaimer.html
text : 联系我们	link : http://corp.39.net/info/contact.html
text : 广告合作	link : http://emarketing.39.net/
